Product Id,Area Code,Date,Sales,COGS,Margin,Expenses,Profit,Marketing,Inventory,Budget Sales,Budget COGS,Budget Margin,Budget Profit
1,719,2012-01-01,219,89,130,36,94,24,777,220,90,130,100
2,970,2012-01-01,190,83,107,39,68,27,623,190,80,110,80
3,970,2012-01-01,234,95,139,38,101,26,821,240,100,140,110
13,303,2012-01-01,100,44,56,26,30,14,623,80,30,50,30
5,303,2012-01-01,134,54,80,26,54,15,456,150,60,90,70
6,720,2012-01-01,180,72,108,55,53,23,558,210,80,130,80
8,970,2012-01-01,341,170,171,72,99,47,1091,300,140,160,110
9,719,2012-01-01,150,63,87,87,0,57,435,130,50,80,20
10,970,2012-01-01,140,60,80,47,33,19,336,120,50,70,40
11,719,2012-01-01,130,58,72,55,17,22,338,110,40,70,20
12,303,2012-01-01,140,64,76,40,36,19,965,120,50,70,40
2,217,2012-01-01,345,144,201,90,111,47,862,360,150,210,130
3,309,2012-01-01,234,95,139,52,87,30,608,240,100,140,100
5,309,2012-01-01,546,234,312,109,203,77,1310,640,270,370,260
6,630,2012-01-01,456,228,228,88,140,63,1459,530,260,270,180
8,312,2012-01-01,219,89,130,35,95,24,777,190,70,120,100
9,630,2012-01-01,190,83,107,39,68,27,623,160,70,90,60
10,773,2012-01-01,234,95,139,38,101,26,821,200,80,120,100
11,217,2012-01-01,134,54,80,27,53,15,456,110,40,70,50
12,708,2012-01-01,180,72,108,54,54,23,558,150,60,90,40
1,319,2012-01-01,45,18,27,16,11,5,821,40,10,30,20
2,641,2012-01-01,62,28,34,29,5,8,965,60,20,40,20
3,712,2012-01-01,54,23,31,19,12,7,623,50,20,30,20
5,563,2012-01-01,43,17,26,15,11,4,777,50,10,40,30
6,563,2012-01-01,43,17,26,16,10,4,777,50,10,40,30
8,641,2012-01-01,546,234,312,110,202,77,1310,480,200,280,200
9,563,2012-01-01,234,95,139,53,86,30,608,200,80,120,90
11,712,2012-01-01,456,228,228,87,141,63,1459,400,190,210,140
12,319,2012-01-01,546,245,301,126,175,93,1419,480,210,270,160
2,636,2012-01-01,190,85,105,66,39,32,494,190,90,100,40
3,573,2012-01-01,170,78,92,45,47,24,965,170,80,90,50
13,417,2012-01-01,76,34,42,46,-4,12,197,60,20,40,0
5,573,2012-01-01,123,50,73,25,48,14,821,140,50,90,70
6,660,2012-01-01,114,46,68,23,45,12,777,130,50,80,60
8,573,2012-01-01,90,37,53,64,-11,34,261,70,30,40,0
9,314,2012-01-01,99,88,11,50,-39,27,525,80,70,10,-20
11,314,2012-01-01,82,35,47,38,9,11,196,70,30,40,10
12,573,2012-01-01,65,29,36,45,-9,11,169,50,20,30,-10
1,740,2012-01-01,140,60,80,46,34,19,336,140,60,80,50
2,614,2012-01-01,140,57,83,41,42,18,364,140,60,80,50
3,614,2012-01-01,150,63,87,87,0,57,435,150,60,90,20
12,216,2012-01-01,200,84,116,49,67,26,500,170,70,100,60
6,614,2012-01-01,130,58,72,56,16,22,338,150,60,90,40
5,614,2012-01-01,341,170,171,72,99,47,1091,400,190,210,140
8,937,2012-01-01,80,32,48,19,29,8,456,70,20,50,50
9,740,2012-01-01,80,32,48,19,29,8,821,70,20,50,50
11,567,2012-01-01,210,84,126,58,68,27,651,180,70,110,60
1,262,2012-01-01,120,54,66,53,13,20,312,120,50,70,30
2,262,2012-01-01,190,79,111,102,9,72,551,190,80,110,20
3,414,2012-01-01,180,77,103,52,51,25,432,180,80,100,60
12,262,2012-01-01,180,75,105,98,7,68,522,150,60,90,10
6,262,2012-01-01,110,48,62,28,34,15,623,120,50,70,50
5,414,2012-01-01,150,69,81,43,38,21,965,170,80,90,50
8,715,2012-01-01,180,67,113,43,70,20,400,150,50,100,80
9,715,2012-01-01,81,33,48,20,28,9,777,70,20,50,50
11,608,2012-01-01,150,61,89,42,47,19,390,130,50,80,50
11,475,2012-01-01,123,50,73,26,47,14,821,130,50,80,60
13,475,2012-01-01,94,38,56,21,35,10,777,100,40,60,40
6,475,2012-01-01,130,55,75,45,30,18,312,120,50,70,40
5,860,2012-01-01,180,75,105,98,7,68,522,170,70,100,20
2,475,2012-01-01,310,124,186,71,115,40,961,290,110,180,130
9,860,2012-01-01,190,85,105,65,40,32,494,140,60,80,40
10,475,2012-01-01,170,78,92,45,47,24,965,130,50,80,50
11,954,2012-01-01,80,32,48,20,28,8,821,80,30,50,40
13,754,2012-01-01,81,33,48,20,28,9,777,80,30,50,40
6,754,2012-01-01,180,77,103,53,50,25,432,170,70,100,60
5,239,2012-01-01,190,79,111,102,9,72,551,180,70,110,30
3,754,2012-01-01,200,84,116,49,67,26,500,190,80,110,70
2,954,2012-01-01,210,84,126,58,68,27,651,190,80,110,70
8,863,2012-01-01,110,48,62,28,34,15,623,80,30,50,30
9,239,2012-01-01,120,54,66,53,13,20,312,90,40,50,20
10,772,2012-01-01,150,69,81,42,39,21,965,110,50,60,40
11,508,2012-01-01,80,32,48,19,29,8,821,80,30,50,40
13,781,2012-01-01,80,32,48,19,29,8,456,80,30,50,40
7,978,2012-01-01,341,170,171,71,100,47,1091,330,160,170,110
5,781,2012-01-01,126,63,63,86,-23,57,435,120,60,60,-10
2,413,2012-01-01,494,72,422,55,367,23,558,460,60,400,360
9,339,2012-01-01,130,58,72,55,17,22,338,100,40,60,30
11,603,2012-01-01,45,18,27,17,10,5,821,40,10,30,20
13,603,2012-01-01,43,17,26,15,11,4,777,40,10,30,20
7,603,2012-01-01,65,29,36,44,-8,11,169,60,20,40,0
5,603,2012-01-01,90,37,53,63,-10,34,261,80,30,50,0
1,603,2012-01-01,93,38,55,35,20,12,241,80,30,50,30
2,603,2012-01-01,120,48,72,47,25,15,372,110,40,70,40
9,603,2012-01-01,76,34,42,46,-4,12,197,50,20,30,0
11,347,2012-01-01,234,95,139,38,101,26,821,250,100,150,120
12,646,2012-01-01,219,89,130,36,94,24,777,230,90,140,110
13,347,2012-01-01,134,54,80,26,54,15,456,140,50,90,70
7,631,2012-01-01,490,228,262,87,175,63,1459,480,210,270,200
5,315,2012-01-01,61,105,-44,128,-172,95,725,50,100,-50,-170
2,716,2012-01-01,678,271,407,145,262,94,2101,640,260,380,260
9,607,2012-01-01,483,245,238,127,111,93,1419,370,180,190,100
10,845,2012-01-01,180,207,-27,86,-113,64,965,140,150,-10,-70
5,337,2012-01-01,180,67,113,43,70,20,400,150,50,100,80
6,337,2012-01-01,150,61,89,41,48,19,390,120,50,70,50
8,337,2012-01-01,112,49,63,28,35,16,623,100,40,60,40
